,station,date,param_unit,val,depth,location,agency
2944,CLEAR LK A GLENHAVEN,4/16/51,Water Temperature_deg C,18.5,0,oaks,DWR
3032,CLEAR LK A LAKEPORT,4/16/51,Water Temperature_deg C,19.5,0,upper,DWR
2945,CLEAR LK A GLENHAVEN,5/11/51,Water Temperature_deg C,15,0,oaks,DWR
3033,CLEAR LK A LAKEPORT,5/11/51,Water Temperature_deg C,14.5,0,upper,DWR
2946,CLEAR LK A GLENHAVEN,6/14/51,Water Temperature_deg C,26,0,oaks,DWR
3034,CLEAR LK A LAKEPORT,6/14/51,Water Temperature_deg C,27.5,0,upper,DWR
2947,CLEAR LK A GLENHAVEN,7/13/51,Water Temperature_deg C,23.3,0,oaks,DWR
3035,CLEAR LK A LAKEPORT,7/13/51,Water Temperature_deg C,22.8,0,upper,DWR
2948,CLEAR LK A GLENHAVEN,8/17/51,Water Temperature_deg C,25,0,oaks,DWR
3036,CLEAR LK A LAKEPORT,8/17/51,Water Temperature_deg C,24,0,upper,DWR
2949,CLEAR LK A GLENHAVEN,9/14/51,Water Temperature_deg C,24,0,oaks,DWR
3037,CLEAR LK A LAKEPORT,9/14/51,Water Temperature_deg C,22,0,upper,DWR
2950,CLEAR LK A GLENHAVEN,10/12/51,Water Temperature_deg C,18,0,oaks,DWR
3038,CLEAR LK A LAKEPORT,10/12/51,Water Temperature_deg C,17,0,upper,DWR
2951,CLEAR LK A GLENHAVEN,11/16/51,Water Temperature_deg C,13,0,oaks,DWR
3039,CLEAR LK A LAKEPORT,11/16/51,Water Temperature_deg C,13.5,0,upper,DWR
2952,CLEAR LK A GLENHAVEN,1/10/52,Water Temperature_deg C,6,0,oaks,DWR
3040,CLEAR LK A LAKEPORT,1/10/52,Water Temperature_deg C,5,0,upper,DWR
3041,CLEAR LK A LAKEPORT,2/14/52,Water Temperature_deg C,6.4,0,upper,DWR
2953,CLEAR LK A GLENHAVEN,3/11/52,Water Temperature_deg C,9,0,oaks,DWR
3042,CLEAR LK A LAKEPORT,3/11/52,Water Temperature_deg C,9,0,upper,DWR
3043,CLEAR LK A LAKEPORT,4/9/52,Water Temperature_deg C,11,0,upper,DWR
2954,CLEAR LK A GLENHAVEN,4/10/52,Water Temperature_deg C,10,0,oaks,DWR
2955,CLEAR LK A GLENHAVEN,5/15/52,Water Temperature_deg C,16,0,oaks,DWR
3044,CLEAR LK A LAKEPORT,5/15/52,Water Temperature_deg C,16.5,0,upper,DWR
2956,CLEAR LK A GLENHAVEN,6/13/52,Water Temperature_deg C,14.5,0,oaks,DWR
3045,CLEAR LK A LAKEPORT,6/13/52,Water Temperature_deg C,14.5,0,upper,DWR
